patternID,pointSeqNo,stopID,stopNumber,latitude,longitude,isPublic,distance_to_previous
15750,61,0,0,43.13171642068615,-80.25173932313919,True,0.037976628231694266
15750,62,68336,1505,43.131797790527344,-80.25215148925781,True,0.034733507298335735
15750,63,0,0,43.131831909126944,-80.25241255760194,True,0.021577730466543956
15750,64,0,0,43.1307827179951,-80.2551645040512,True,0.2524391594272202
15750,65,68337,1506,43.13042449951172,-80.2549057006836,True,0.04502449545811026
15750,66,0,0,43.12962780396184,-80.25433838367462,True,0.0998237663675046
15750,67,0,0,43.12921672760282,-80.25413990020752,True,0.048440309353830556
15750,68,68338,1507,43.12873077392578,-80.25408172607422,True,0.05419427261658538
15750,69,0,0,43.12792084023654,-80.2539896965027,True,0.09029085343874277
15750,70,0,0,43.1269890371867,-80.25386095046997,True,0.10404762984907957
15750,71,68339,1508,43.126346588134766,-80.25377655029297,True,0.07170268257188327
